reference,projection,downsample_frac,n_features,kappa,uns_rate,Method
muraro,segerstolpe,10%,ALL,0.833465147387641,81.167949298325,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834398527044353,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835471961778508,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833475243939438,81.2132186509733,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833000462411822,81.2584880036215,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834149120012357,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834817891068786,80.8963331824355,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834596625046715,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833465147387641,81.167949298325,scmap-cluster
muraro,segerstolpe,10%,ALL,0.8350375238983,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834596625046715,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835514301664348,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.832443138616928,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835072969391938,80.8963331824355,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835072969391938,80.8963331824355,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835732533914044,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833327166432324,80.5794477138977,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833467753690082,81.0774105930285,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835471961778508,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834849833041515,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834398527044353,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835294452833414,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835731267226763,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835732533914044,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833708697729289,81.167949298325,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834817891068786,80.8963331824355,scmap-cluster
muraro,segerstolpe,10%,ALL,0.832521918009502,81.1226799456768,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836589648540929,80.5794477138977,scmap-cluster
muraro,segerstolpe,10%,ALL,0.831995233907345,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.83519566220147,80.6699864191942,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834170319409368,81.0774105930285,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834398527044353,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833922843603733,81.0774105930285,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835732533914044,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.83414845063656,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.832880816402959,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835539040541184,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.8346250252096,80.986871887732,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833240001178932,81.2584880036215,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834596625046715,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835982939123691,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834170319409368,81.0774105930285,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835255541550971,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835900079673806,80.6699864191942,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835314595028834,80.986871887732,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833233688461124,81.2132186509733,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835732533914044,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835514301664348,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836800059244448,80.5341783612494,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834149120012357,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835732533914044,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833358170032039,80.7152557718425,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835255541550971,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834398527044353,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834849833041515,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834849833041515,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835732533914044,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834596625046715,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834596625046715,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.8345938522284,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836111811567809,80.6247170665459,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836592400384554,80.6699864191942,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833708697729289,81.167949298325,scmap-cluster
muraro,segerstolpe,10%,ALL,0.83275643979879,81.167949298325,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834398527044353,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836164219470882,80.6699864191942,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834373707547442,80.986871887732,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835072969391938,80.8963331824355,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836377707534943,80.6247170665459,scmap-cluster
muraro,segerstolpe,10%,ALL,0.832664627816279,80.7152557718425,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931457094900347,2.71616115889543,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930851054737645,2.76143051154369,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930920139757699,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931370414079591,2.80669986419194,scmap-cluster
