,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0331,0.71,0.67,0.54,0.5,0.51,0.33
human1_lib1.final_cell_0332,0.78,0.74,0.63,0.6,0.6,0.45
human1_lib1.final_cell_0333,0.82,0.74,0.7,0.53,0.27,0.21
human1_lib1.final_cell_0334,0.73,0.69,0.67,0.59,0.27,0.39
human1_lib1.final_cell_0335,0.7,0.75,0.67,0.58,0.3,0.25
human1_lib1.final_cell_0336,0.68,0.65,0.53,0.53,0.28,0.34
human1_lib1.final_cell_0337,0.79,0.73,0.73,0.57,0.56,0.24
human1_lib1.final_cell_0338,0.81,0.75,0.69,0.54,0.5,0.15
human1_lib1.final_cell_0339,0.83,0.74,0.71,0.56,0.53,0.21
human1_lib1.final_cell_0340,0.71,0.68,0.58,0.51,NA,0.18
human1_lib1.final_cell_0341,0.68,0.6,0.65,0.34,0.14,0.32
human1_lib1.final_cell_0342,0.74,0.74,0.69,0.55,0.55,0.41
human1_lib1.final_cell_0343,0.9,0.68,0.71,0.44,0.48,0.34
human1_lib1.final_cell_0344,0.83,0.73,0.68,0.56,0.56,0.25
human1_lib1.final_cell_0345,0.78,0.79,0.67,0.55,NA,0.18
human1_lib1.final_cell_0346,0.82,0.75,0.69,0.5,0.29,NA
human1_lib1.final_cell_0347,0.85,0.79,0.76,0.53,0.28,0.21
human1_lib1.final_cell_0348,0.78,0.74,0.67,0.63,NA,0.41
human1_lib1.final_cell_0349,0.75,0.74,0.69,0.59,0.36,0.19
human1_lib1.final_cell_0350,0.82,0.77,0.66,0.56,NA,0.48
human1_lib1.final_cell_0351,0.81,0.74,0.68,0.52,0.5,0.24
human1_lib1.final_cell_0352,0.65,0.69,0.62,0.51,NA,0.16
human1_lib1.final_cell_0353,0.72,0.63,0.65,0.39,0.18,0.29
human1_lib1.final_cell_0354,0.82,0.8,0.75,0.62,0.4,0.2
human1_lib1.final_cell_0355,0.83,0.73,0.67,0.51,NA,0.24
human1_lib1.final_cell_0356,0.82,0.74,0.69,0.53,NA,0.36
human1_lib1.final_cell_0357,0.82,0.8,0.76,0.61,0.32,0.4
human1_lib1.final_cell_0358,0.79,0.75,0.56,0.58,0.62,0.47
