reference,mapping,threshold,n_features,n_nn,accuracy
baron-human,baron-human,0.5,1000,5,59.8669623059867
baron-human,baron-human,0.5,1000,5,60.3454312055082
baron-human,baron-human,0.5,1000,5,59.2951336211927
baron-human,baron-human,0.5,1000,5,60.8939199439841
baron-human,baron-human,0.5,1000,5,60.0770218228498
baron-human,baron-human,0.5,1000,5,59.9486521181001
baron-human,baron-human,0.5,1000,5,60.7538802660754
baron-human,baron-human,0.5,1000,5,59.3068035943517
baron-human,baron-human,0.5,1000,5,60.3921110981445
baron-human,baron-human,0.5,1000,5,60.1237017154861
baron-human,baron-human,0.5,1000,5,61.2323491655969
baron-human,baron-human,0.5,1000,5,60.310421286031
baron-human,baron-human,0.5,1000,5,60.3571011786673
baron-human,baron-human,0.5,1000,5,60.4387909907807
baron-human,baron-human,0.5,1000,5,60.0886917960089
baron-human,baron-human,0.5,1000,5,60.0070019838954
baron-human,baron-human,0.5,1000,5,59.1784338896021
baron-human,baron-human,0.5,1000,5,60.0303419302136
baron-human,baron-human,0.5,1000,5,61.057299568211
baron-human,baron-human,0.5,1000,5,60.7538802660754
baron-human,baron-human,0.5,1000,5,60.1237017154861
baron-human,baron-human,0.5,1000,5,61.7108180651185
baron-human,baron-human,0.5,1000,5,60.9405998366204
baron-human,baron-human,0.5,1000,5,60.2053915275995
baron-human,baron-human,0.5,1000,5,59.4701832185786
baron-human,baron-human,0.5,1000,5,61.5357684677325
baron-human,baron-human,0.5,200,10,64.0681526432489
baron-human,baron-human,0.5,200,10,63.9747928579764
baron-human,baron-human,0.5,200,10,63.2395845489555
baron-human,baron-human,0.5,200,10,63.3562842805462
baron-human,baron-human,0.5,200,10,63.6713735558408
baron-human,baron-human,0.5,200,10,63.9981328042945
baron-human,baron-human,0.5,200,10,64.3132220795892
baron-human,baron-human,0.5,200,10,63.9747928579764
baron-human,baron-human,0.5,200,10,62.7144357567978
baron-human,baron-human,0.5,200,10,63.4963239584549
baron-human,baron-human,0.5,200,10,63.7997432605905
baron-human,baron-human,0.5,200,10,63.4729840121368
baron-human,baron-human,0.5,200,10,62.9244952736609
baron-human,baron-human,0.5,200,10,63.9514529116583
baron-human,baron-human,0.5,200,10,63.6246936632046
baron-human,baron-human,0.5,200,10,63.6130236900455
baron-human,baron-human,0.5,200,10,63.7880732874314
baron-human,baron-human,0.5,200,10,63.7413933947952
baron-human,baron-human,0.5,200,10,63.3446143073871
baron-human,baron-human,0.5,200,10,63.2862644415918
baron-human,baron-human,0.5,200,10,63.4029641731824
baron-human,baron-human,0.5,200,10,63.3562842805462
baron-human,baron-human,0.5,200,10,63.4729840121368
baron-human,baron-human,0.5,200,10,63.7647333411133
baron-human,baron-human,0.5,200,10,63.134554790524
baron-human,baron-human,0.5,200,10,62.5160462130937
baron-human,baron-human,0.5,200,10,63.1578947368421
baron-human,baron-human,0.5,200,10,63.4379740926596
baron-human,baron-human,0.5,200,10,63.7180534484771
baron-human,baron-human,0.5,200,10,63.5896837437274
baron-human,baron-human,0.5,200,10,63.4613140389777
baron-human,baron-human,0.5,200,10,63.5780137705683
baron-human,baron-human,0.5,200,10,63.9397829384992
baron-human,baron-human,0.5,200,10,63.8230832069086
baron-human,baron-human,0.5,200,10,64.4882716769751
baron-human,baron-human,0.5,200,10,64.2432022406348
baron-human,baron-human,0.5,200,10,63.519663904773
baron-human,baron-human,0.5,200,10,63.332944334228
baron-human,baron-human,0.5,200,10,64.1731824016805
baron-human,baron-human,0.5,200,10,63.4263041195005
baron-human,baron-human,0.5,200,10,64.0098027774536
baron-human,baron-human,0.5,200,10,63.3446143073871
baron-human,baron-human,0.5,200,10,62.8077955420703
baron-human,baron-human,0.5,200,10,63.4029641731824
baron-human,baron-human,0.5,200,10,63.8697630995449
baron-human,baron-human,0.5,200,10,63.8814330727039
baron-human,baron-human,0.5,200,10,62.8661454078656
baron-human,baron-human,0.5,200,10,62.8894853541837
baron-human,baron-human,0.5,200,10,63.2045746294784
baron-human,baron-human,0.5,200,10,63.4379740926596
baron-human,baron-human,0.5,200,10,63.0178550589334
baron-human,baron-human,0.5,200,10,63.893103045863
baron-human,baron-human,0.5,200,10,64.1148325358852
baron-human,baron-human,0.5,200,10,63.321274361069
baron-human,baron-human,0.5,200,10,64.5349515696114
baron-human,baron-human,0.5,200,10,63.3912942000233
baron-human,baron-human,0.5,200,10,63.9514529116583
baron-human,baron-human,0.5,200,10,63.893103045863
baron-human,baron-human,0.5,200,10,64.6399813280429
baron-human,baron-human,0.5,200,10,62.200956937799
baron-human,baron-human,0.5,200,10,63.8814330727039
baron-human,baron-human,0.5,200,10,63.0645349515696
baron-human,baron-human,0.5,200,10,63.0061850857743
baron-human,baron-human,0.5,200,10,63.3796242268643
baron-human,baron-human,0.5,200,10,63.2979344147508
baron-human,baron-human,0.5,200,10,63.9864628311355
baron-human,baron-human,0.5,200,10,63.1929046563193
baron-human,baron-human,0.5,200,10,62.7961255689112
baron-human,baron-human,0.5,200,10,63.0061850857743
baron-human,baron-human,0.5,200,10,63.0178550589334
baron-human,baron-human,0.5,200,10,63.2979344147508
baron-human,baron-human,0.5,200,10,63.5780137705683
baron-human,baron-human,0.5,200,10,63.7297234216361
baron-human,baron-human,0.5,200,10,63.1112148442059
baron-human,baron-human,0.5,200,10,63.5663437974093
baron-human,baron-human,0.5,200,10,63.519663904773
baron-human,baron-human,0.5,200,10,63.7413933947952
baron-human,baron-human,0.5,200,10,63.7180534484771
baron-human,baron-human,0.5,200,10,64.0331427237717
baron-human,baron-human,0.5,200,10,63.0762049247287
baron-human,baron-human,0.5,200,10,63.9864628311355
baron-human,baron-human,0.5,200,10,64.1148325358852
baron-human,baron-human,0.5,200,10,62.6910958104796
baron-human,baron-human,0.5,200,10,64.0214727506127
baron-human,baron-human,0.5,200,10,63.2279145757965
baron-human,baron-human,0.5,200,10,63.321274361069
baron-human,baron-human,0.5,200,10,63.2745944684327
baron-human,baron-human,0.5,200,10,63.2512545221146
baron-human,baron-human,0.5,200,10,62.8778153810246
baron-human,baron-human,0.5,200,10,62.3293266425487
baron-human,baron-human,0.5,200,10,63.4729840121368
baron-human,baron-human,0.5,200,10,63.6480336095227
baron-human,baron-human,0.5,200,10,63.1578947368421
baron-human,baron-human,0.5,200,10,63.519663904773
baron-human,baron-human,0.5,200,10,64.2081923211577
baron-human,baron-human,0.5,200,10,62.9011553273427
baron-human,baron-human,0.5,200,10,63.9981328042945
baron-human,baron-human,0.5,200,10,63.2862644415918
baron-human,baron-human,0.5,200,10,64.0448126969308
baron-human,baron-human,0.5,200,10,63.2395845489555
baron-human,baron-human,0.5,200,5,46.7149025557241
baron-human,baron-human,0.5,200,5,46.5982028241335
baron-human,baron-human,0.5,200,5,46.2014237367254
baron-human,baron-human,0.5,200,5,45.9796942467032
baron-human,baron-human,0.5,200,5,46.5515229314973
baron-human,baron-human,0.5,200,5,47.0066518847007
baron-human,baron-human,0.5,200,5,46.0030341930214
baron-human,baron-human,0.5,200,5,46.6798926362469
baron-human,baron-human,0.5,200,5,45.5362352666589
baron-human,baron-human,0.5,200,5,46.0147041661804
baron-human,baron-human,0.5,200,5,46.4114832535885
baron-human,baron-human,0.5,200,5,46.0030341930214
baron-human,baron-human,0.5,200,5,45.4078655619092
baron-human,baron-human,0.5,200,5,46.7032325825651
baron-human,baron-human,0.5,200,5,46.3531333877932
baron-human,baron-human,0.5,200,5,46.2481036293617
baron-human,baron-human,0.5,200,5,46.5748628778154
baron-human,baron-human,0.5,200,5,46.3998132804295
baron-human,baron-human,0.5,200,5,45.8629945151126
baron-human,baron-human,0.5,200,5,45.2678258840005
baron-human,baron-human,0.5,200,5,45.8629945151126
baron-human,baron-human,0.5,200,5,45.7929746761582
baron-human,baron-human,0.5,200,5,46.1664138172482
baron-human,baron-human,0.5,200,5,46.691562609406
baron-human,baron-human,0.5,200,5,45.9563543003851
baron-human,baron-human,0.5,200,5,45.944684327226
baron-human,baron-human,0.5,200,5,46.0030341930214
baron-human,baron-human,0.5,200,5,45.9213443809079
