reference,mapping,threshold,n_features,kappa,uns_rate,Method
baron-human,segerstolpe,0.8,1000-2000,0,100,scmap
baron-human,segerstolpe,0.8,200-500,0.550114571840788,87.3698506111363,scmap
baron-human,segerstolpe,0.8,2000-5000,0,100,scmap
baron-human,segerstolpe,0.8,0-100,0.936112289513082,13.3091896785876,scmap
baron-human,segerstolpe,0.8,500-1000,0,100,scmap
baron-human,segerstolpe,0.9,ALL,0,100,scmap
baron-human,segerstolpe,0.9,100-200,0,100,scmap
baron-human,segerstolpe,0.9,1000-2000,0,100,scmap
baron-human,segerstolpe,0.9,200-500,0,100,scmap
baron-human,segerstolpe,0.9,2000-5000,0,100,scmap
baron-human,segerstolpe,0.9,0-100,1,92.7116342236306,scmap
baron-human,segerstolpe,0.9,500-1000,0,100,scmap
xin,baron-human,0.5,1000-2000,0.793056058749631,42.3736725405532,scmap
xin,baron-human,0.5,ALL,0.619611237622391,30.9487688178317,scmap
xin,baron-human,0.5,100-200,0.609375124101141,14.2373672540553,scmap
xin,baron-human,0.5,2000-5000,0.890610410455074,69.4713502158945,scmap
xin,baron-human,0.5,200-500,0.706306276077311,25.335511728323,scmap
xin,baron-human,0.5,500-1000,0.760671444410097,32.9209942817131,scmap
xin,baron-human,0.5,0-100,0.557544182945425,6.57019488855176,scmap
xin,baron-human,0.6,1000-2000,0.943558962977908,91.2942000233399,scmap
xin,baron-human,0.6,ALL,0.819513614264159,85.4708834169681,scmap
xin,baron-human,0.6,100-200,0.753418434832809,53.4368070953437,scmap
xin,baron-human,0.6,2000-5000,1,99.1831018788657,scmap
xin,baron-human,0.6,200-500,0.843624861538699,70.0198389543704,scmap
xin,baron-human,0.6,500-1000,0.898958636897139,79.390827401097,scmap
xin,baron-human,0.6,0-100,0.667525259589762,36.6437157194538,scmap
xin,baron-human,0.7,1000-2000,1,99.9766600536819,scmap
xin,baron-human,0.7,ALL,1,99.9766600536819,scmap
xin,baron-human,0.7,100-200,0.843318048362089,95.1803010853075,scmap
xin,baron-human,0.7,2000-5000,0,100,scmap
xin,baron-human,0.7,200-500,0.812865497076023,99.0664021472751,scmap
xin,baron-human,0.7,500-1000,1,99.6965806978644,scmap
xin,baron-human,0.7,0-100,0.809636152673553,88.0382775119617,scmap
xin,baron-human,0.8,1000-2000,0,100,scmap
xin,baron-human,0.8,ALL,0,100,scmap
xin,baron-human,0.8,100-200,0,100,scmap
xin,baron-human,0.8,2000-5000,0,100,scmap
xin,baron-human,0.8,200-500,0,100,scmap
xin,baron-human,0.8,500-1000,0,100,scmap
xin,baron-human,0.8,0-100,1,99.9299801610456,scmap
xin,baron-human,0.9,1000-2000,0,100,scmap
xin,baron-human,0.9,ALL,0,100,scmap
xin,baron-human,0.9,100-200,0,100,scmap
xin,baron-human,0.9,2000-5000,0,100,scmap
xin,baron-human,0.9,200-500,0,100,scmap
xin,baron-human,0.9,500-1000,0,100,scmap
